experience,age_cat,condition,runID,grid,data_type,short_name,round,stand_cross,answer,rt,mean_baseline,n_picks,n_matches,n_players,alignment_score,majority_answer,majority_prop,alt_alignment,cross_n_picks,cross_n_matches,cross_n_players,cross_alignment_score,cross_majority_answer,cross_majority_prop,cross_alt_alignment,1_crossed_young_to_old_res_book,2_crossed_young_to_old_res_choco,3_crossed_young_to_old_res_brand_cloth,4_crossed_young_to_old_res_dog,5_crossed_young_to_old_res_building,6_crossed_young_to_old_res_city,7_crossed_young_to_old_res_africa,8_crossed_young_to_old_res_europe,9_crossed_young_to_old_res_country_holiday,10_crossed_young_to_old_res_date_year,11_crossed_young_to_old_res_drink_bar,12_crossed_young_to_old_res_flower,13_crossed_young_to_old_res_currency,14_crossed_young_to_old_res_houseplant,15_crossed_young_to_old_res_job,16_crossed_young_to_old_res_landmark,17_crossed_young_to_old_res_magazine,18_crossed_young_to_old_res_car,19_crossed_young_to_old_res_mountain,20_crossed_young_to_old_res_band,21_crossed_young_to_old_res_newspaper,22_crossed_young_to_old_res_part_car,23_crossed_young_to_old_res_politic,24_crossed_young_to_old_res_river,25_crossed_young_to_old_res_sport,26_crossed_young_to_old_res_sport_person,27_crossed_young_to_old_res_school,28_crossed_young_to_old_res_super,29_crossed_young_to_old_res_tv,30_crossed_young_to_old_res_insect,31_crossed_young_to_old_res_weather,32_crossed_young_to_old_res_celebrate,33_crossed_young_to_old_res_fit,34_crossed_young_to_old_res_number,35_crossed_young_to_old_res_history,36_crossed_young_to_old_res_item_cloth,37_crossed_young_to_old_res_year,38_crossed_young_to_old_res_night_out,39_crossed_young_to_old_res_people_holiday,40_crossed_young_to_old_res_parties,41_crossed_young_to_old_res_bathroom,42_crossed_young_to_old_res_garden,43_crossed_young_to_old_res_beach,1_crossed_old_to_young_res_book,2_crossed_old_to_young_res_brand_cloth,3_crossed_old_to_young_res_choco,4_crossed_old_to_young_res_dog,5_crossed_old_to_young_res_building,6_crossed_old_to_young_res_city,7_crossed_old_to_young_res_africa,8_crossed_old_to_young_res_europe,9_crossed_old_to_young_res_country_holiday,10_crossed_old_to_young_res_date,11_crossed_old_to_young_res_drink_bar,12_crossed_old_to_young_res_flower,13_crossed_old_to_young_res_currency,14_crossed_old_to_young_res_houseplant,15_crossed_old_to_young_res_job,16_crossed_old_to_young_res_landmark,17_crossed_old_to_young_res_magazine,18_crossed_old_to_young_res_car,19_crossed_old_to_young_res_mountain,20_crossed_old_to_young_res_band,21_crossed_old_to_young_res_newspaper,22_crossed_old_to_young_res_part_car,23_crossed_old_to_young_res_politic,24_crossed_old_to_young_res_river,25_crossed_old_to_young_res_sport,26_crossed_old_to_young_res_sport_person,27_crossed_old_to_young_res_school,28_crossed_old_to_young_res_super,29_crossed_old_to_young_res_tv,30_crossed_old_to_young_res_insect,31_crossed_old_to_young_res_weather,32_crossed_old_to_young_res_celebrate,33_crossed_old_to_young_res_fit,34_crossed_old_to_young_res_number,35_crossed_old_to_young_res_history,36_crossed_old_to_young_res_item_cloth,37_crossed_old_to_young_res_year,38_crossed_old_to_young_res_night_out,39_crossed_old_to_young_res_people_holiday,40_crossed_old_to_young_res_parties,41_crossed_old_to_young_res_bathroom,42_crossed_old_to_young_res_garden,43_crossed_old_to_young_res_beach,crossed_alignment_score
dependent,younger,between,557d8066fdf99b4d58356037,10_Name a date in the year (dd/mm),free_gen_question,date,2,1,25/12/2023 00:00,12330.5,0.084954291,,24,49,0.5,25/12/2023 00:00,0.510204082,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,11_Name a drink ordered at a bar,free_gen_question,drink_bar,2,1,martini,12759.3,0.084954291,,1,49,0.020833333,beer,0.326530612,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,12_Name a flower,free_gen_question,flower,2,1,rose,1925.3,0.114894194,,27,49,0.5625,rose,0.571428571,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744680851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,13_Name a foreign currency,free_gen_question,currency,2,1,euro,2997.8,0.114894194,,29,48,0.617021277,euro,0.625,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.659574468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,14_Name a houseplant,free_gen_question,houseplant,2,1,cactus,2466.5,0.114894194,,8,48,0.170212766,cactus,0.1875,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,15_Name a job or profession,free_gen_question,job,2,1,builder,5890.2,0.084954291,,4,49,0.083333333,doctor,0.163265306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,16_Name a landmark,free_gen_question,landmark,2,1,big ben,3329,0.084954291,,14,49,0.291666667,big ben,0.306122449,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,17_Name a magazine,free_gen_question,magazine,2,1,take a break,10516.4,0.084954291,,2,49,0.041666667,tv guide,0.183673469,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,18_Name a make of car,free_gen_question,car,2,1,ford,6413.6,0.114894194,,27,49,0.5625,ford,0.571428571,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.659574468,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,19_Name a mountain,free_gen_question,mountain,2,1,everest,2834.4,0.114894194,,36,49,0.75,everest,0.755102041,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808510638,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,1_Name a book,free_gen_question,book,2,1,lord of the rings,8211.9,0.114894194,,3,48,0.063829787,bible,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,20_Name a musical band or artist,free_gen_question,music_artist,2,1,queen,2923,0.084954291,,3,49,0.0625,the beatles,0.387755102,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14893617,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,21_Name a newspaper,free_gen_question,newspaper,2,1,daily mail,4300.1,0.084954291,,22,49,0.458333333,daily mail,0.469387755,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.260869565,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,22_Name a part of a car,free_gen_question,car_part,2,1,engine,9083.7,0.114894194,,16,49,0.333333333,engine,0.346938776,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361702128,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,23_Name a political party,free_gen_question,political,2,1,conservatives,2595.7,0.084954291,,38,49,0.791666667,conservatives,0.795918367,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.680851064,,,,,,,,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,24_Name a river,free_gen_question,river,2,1,thames,4447.6,0.114894194,,29,49,0.604166667,thames,0.612244898,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.872340426,,,,,,,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,25_Name a sport,free_gen_question,sport,2,1,football,2107.5,0.114894194,,31,48,0.659574468,football,0.666666667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808510638,,,,,,,,,,,,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,26_Name a sports person (of any sport),free_gen_question,player,2,1,roger federer,10838.9,0.084954291,,0,48,0,david beckham,0.1875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,27_Name a subject you might study at school,free_gen_question,subject,2,1,english,8926.3,0.114894194,,15,49,0.3125,maths,0.510204082,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361702128,,,,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,28_Name a supermarket chain,free_gen_question,supermarket,2,1,tesco,8040.1,0.114894194,,29,49,0.604166667,tesco,0.612244898,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.617021277,,,,,,,,,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,29_Name a television channel or streaming service,free_gen_question,tv,2,1,netflix,6672.5,0.084954291,,0,49,0,bbc 1,0.489795918,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127659574,,,,,,,,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,2_Name a brand of chocolate bar,free_gen_question,chocolate,2,1,cadbury,2953.9,0.084954291,,32,49,0.666666667,cadbury,0.673469388,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595744681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,30_Name a type of insect,free_gen_question,insect,2,1,bee,3794.9,0.114894194,,9,49,0.1875,ant,0.306122449,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212765957,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,31_Name a type of weather,free_gen_question,weather,2,1,rain,1728.7,0.114894194,,24,49,0.5,rain,0.510204082,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.425531915,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,32_Name a typical celebration,free_gen_question,celebration,2,1,party,3676.5,0.114894194,,0,49,0,birthday,0.510204082,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,33_Name a way of getting fit,free_gen_question,fit,2,1,gym,3702,0.114894194,,0,49,0,jogging,0.551020408,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042553191,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,34_Name a whole number,free_gen_question,number,2,1,100,1936.4,0.114894194,,8,49,0.166666667,10,0.183673469,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.106382979,,,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,35_Name an important person from history,free_gen_question,history,2,1,churchill,2443.4,0.084954291,,24,49,0.5,churchill,0.510204082,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.723404255,,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,36_Name an item of clothing,free_gen_question,clothing,2,1,tshirt,3640.4,0.084954291,,6,49,0.125,jumper,0.204081633,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,37_Name any year (past present or future),free_gen_question,year,2,1,2000,11750.4,0.084954291,,5,49,0.104166667,2000,0.12244898,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255319149,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,38_Name something people might do on a night out,free_gen_question,night_out,2,1,dance_out,2510.6,0.114894194,,27,49,0.5625,dance_out,0.571428571,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14893617,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,39_Name something people might do on holiday,free_gen_question,people_holiday,2,1,sunbathe,13954.2,0.114894194,,24,49,0.5,sunbathe,0.510204082,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489361702,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,3_Name a brand of clothing,free_gen_question,clothing_brand,2,1,nike,8070.6,0.084954291,,10,49,0.208333333,nike,0.224489796,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085106383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,40_Name something that happens at parties,free_gen_question,party,2,1,drinking_party,4262.7,0.084954291,,7,49,0.145833333,dance_party,0.367346939,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255319149,,,,
dependent,younger,between,557d8066fdf99b4d58356037,41_Name something that might be found in a bathroom,free_gen_question,bathroom,2,1,towel,5070.2,0.084954291,,3,49,0.0625,toilet,0.306122449,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021276596,,,
dependent,younger,between,557d8066fdf99b4d58356037,42_Name something that might be found in the garden,free_gen_question,garden,2,1,flowers,5963.3,0.084954291,,13,48,0.276595745,grass,0.3125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276595745,,
independent,younger,between,557d8066fdf99b4d58356037,43_Name something that might be found on the beach,free_gen_question,beach,2,1,sand,2656.9,0.114894194,,21,49,0.4375,sand,0.448979592,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468085106,
independent,younger,between,557d8066fdf99b4d58356037,4_Name a breed of dog,free_gen_question,dog,2,1,labrador,3389.4,0.114894194,,18,49,0.375,labrador,0.387755102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446808511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,5_Name a building,free_gen_question,building,2,1,empire state building,8266.5,0.084954291,,8,49,0.166666667,empire state building,0.183673469,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127659574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,6_Name a city,free_gen_question,city,2,1,london,2017.6,0.114894194,,39,49,0.8125,london,0.816326531,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.829787234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,between,557d8066fdf99b4d58356037,7_Name a country in Africa,free_gen_question,africa,2,1,south africa,6106.6,0.084954291,,7,48,0.14893617,nigeria,0.208333333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195652174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,8_Name a country in Europe,free_gen_question,europe,2,1,england,3474.3,0.114894194,,3,48,0.063829787,france,0.625,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021276596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,between,557d8066fdf99b4d58356037,9_Name a country you might go to on holiday,free_gen_question,holiday,2,1,spain,9929.9,0.114894194,,38,49,0.791666667,spain,0.795918367,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.659574468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,within,557d8066fdf99b4d58356037,10_Name a date in the year (dd/mm),free_gen_question,date,1,1,25/12/2023 00:00,8376.6,0.087627756,,24,49,0.5,25/12/2023 00:00,0.510204082,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,within,557d8066fdf99b4d58356037,11_Name a drink ordered at a bar,free_gen_question,drink_bar,1,1,martini,9705.2,0.087627756,,0,50,0,beer,0.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,within,557d8066fdf99b4d58356037,12_Name a flower,free_gen_question,flower,1,1,tulip,3264.8,0.134575924,,2,50,0.040816327,rose,0.46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,within,557d8066fdf99b4d58356037,13_Name a foreign currency,free_gen_question,currency,1,1,euro,4738.9,0.134575924,,36,48,0.765957447,euro,0.770833333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.659574468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,within,557d8066fdf99b4d58356037,14_Name a houseplant,free_gen_question,houseplant,1,1,cactus,2345.1,0.134575924,,14,50,0.285714286,cactus,0.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,within,557d8066fdf99b4d58356037,15_Name a job or profession,free_gen_question,job,1,1,builder,3276.2,0.087627756,,1,50,0.020408163,teacher,0.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,within,557d8066fdf99b4d58356037,16_Name a landmark,free_gen_question,landmark,1,1,big ben,7640.8,0.087627756,,10,50,0.204081633,eiffel tower,0.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,within,557d8066fdf99b4d58356037,17_Name a magazine,free_gen_question,magazine,1,1,gq,8117.4,0.087627756,,0,50,0,hello magazine,0.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,within,557d8066fdf99b4d58356037,18_Name a make of car,free_gen_question,car,1,1,ford,14208,0.134575924,,13,50,0.265306122,ford,0.28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.659574468,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,within,557d8066fdf99b4d58356037,19_Name a mountain,free_gen_question,mountain,1,1,everest,4042.5,0.134575924,,37,50,0.755102041,everest,0.76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808510638,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,within,557d8066fdf99b4d58356037,1_Name a book,free_gen_question,book,1,1,lord of the rings,26379.1,0.134575924,,1,50,0.020408163,harry potter,0.64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,within,557d8066fdf99b4d58356037,20_Name a musical band or artist,free_gen_question,music_artist,1,1,taylor swift,6716,0.087627756,,1,50,0.020408163,ed sheeran,0.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,within,557d8066fdf99b4d58356037,21_Name a newspaper,free_gen_question,newspaper,1,1,the sun,8992.6,0.087627756,,27,50,0.551020408,the sun,0.56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282608696,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,within,557d8066fdf99b4d58356037,22_Name a part of a car,free_gen_question,car_part,1,1,exhaust,6931,0.134575924,,5,50,0.102040816,engine,0.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063829787,,,,,,,,,,,,,,,,,,,,,,
dependent,younger,within,557d8066fdf99b4d58356037,23_Name a political party,free_gen_question,political,1,1,labour,5711.3,0.087627756,,42,50,0.857142857,labour,0.86,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276595745,,,,,,,,,,,,,,,,,,,,,
independent,younger,within,557d8066fdf99b4d58356037,24_Name a river,free_gen_question,river,1,1,nile,8852.6,0.134575924,,9,50,0.183673469,thames,0.62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
independent,younger,within,557d8066fdf99b4d58356037,25_Name a sport,free_gen_question,sport,1,1,football,7131.9,0.134575924,,46,50,0.93877551,football,0.94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808510638,,,,,,,,,,,,,,,,,,,
dependent,younger,within,557d8066fdf99b4d58356037,26_Name a sports person (of any sport),free_gen_question,player,1,1,ronaldo,4464.1,0.087627756,,10,50,0.204081633,ronaldo,0.22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
independent,younger,within,557d8066fdf99b4d58356037,27_Name a subject you might study at school,free_gen_question,subject,1,1,maths,4189.9,0.134575924,,30,50,0.612244898,maths,0.62,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.510638298,,,,,,,,,,,,,,,,,
independent,younger,within,557d8066fdf99b4d58356037,28_Name a supermarket chain,free_gen_question,supermarket,1,1,tesco,3633.2,0.134575924,,28,50,0.571428571,tesco,0.58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.617021277,,,,,,,,,,,,,,,,
dependent,younger,within,557d8066fdf99b4d58356037,29_Name a television channel or streaming service,free_gen_question,tv,1,1,netflix,4423.8,0.087627756,,41,50,0.836734694,netflix,0.84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127659574,,,,,,,,,,,,,,,
dependent,younger,within,557d8066fdf99b4d58356037,2_Name a brand of chocolate bar,free_gen_question,chocolate,1,1,cadbury,4116.5,0.087627756,,33,50,0.673469388,cadbury,0.68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.595744681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
independent,younger,within,557d8066fdf99b4d58356037,30_Name a type of insect,free_gen_question,insect,1,1,bee,5628.3,0.134575924,,5,50,0.102040816,ant,0.24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212765957,,,,,,,,,,,,,,
independent,younger,within,557d8066fdf99b4d58356037,31_Name a type of weather,free_gen_question,weather,1,1,rain,7113.4,0.134575924,,23,50,0.469387755,rain,0.48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.425531915,,,,,,,,,,,,,
